_id,작성자,별점 점수,리뷰내용
658a9838c41002f5926ed0ec,와일드베리,2.0,이것저것 다 섞기만 하면 이런 맛이 나옵니다.
658a9838c41002f5926ed0ed,항상졸린남자,1.5,안일하네
658a9838c41002f5926ed0ee,임지환,2.0,"화려한 세계관 구축, 화려한 화면 연출, 스페이스오페라 로드무비(?) 에서 3류 서사가 되어버렸다"
658a9838c41002f5926ed0ef,Inhyuk Lim,2.0,은하계를 누비는 욕심에 비해 턱없이 부족한 제작비(두 편 파합쳐서 1억 66백만달러) 때문인지 액션 스펙터클 다 나사가 빠져있다
658a9838c41002f5926ed0f0,현서,1.0,아진짜 감독한테서 슬로우모션 버튼 좀 누가 뺏어주라
658a9838c41002f5926ed0f1,김지훈,1.0,스타워즈 만들려다 말았으니 짭스러운 것은 이해할게. 그런데 이것저것 다른 영화에서 가져온 설정과 어색한 합성과 멋없는 슬로우 모션과 개연성없는 캐릭터는 어쩔건데?
658a9838c41002f5926ed0f2,이정우,1.5,"모자란 사람이 쓴 반지의 제왕, 스타워즈,, 등등 그밖에 아무거나."
658a9838c41002f5926ed0f3,son_ms25,2.0,"와닿지 않는 세계관, 매력 없는 캐릭터, 박진감 없는 액션"
658a9838c41002f5926ed0f4,헵번공주,보고싶어요,■예고편)\n\nhttps://youtu.be/k_gdElditg4?si=3WZG2tvLCO9ghHMZ
658a9838c41002f5926ed0f5,Dominica,보고싶어요,🥠
658a9838c41002f5926ed0f6,sj,2.0,"신화를 포장할 수는 있지만, 창조할 수 없는 감독.\n설정부터 디테일까지 전부 다 보기가 괴롭다.\n\n1편이니 두고보자는 말도 할 수 없을 정도.\n감독판을 기대하자는 말도 할 수 없을 정도."
658a9838c41002f5926ed0f7,세훈,1.5,여기저기 성공했던 우주여행이 남긴 누더기의 쉰내.
658a9838c41002f5926ed0f8,박소현,2.0,예상별점 2.5.. 아니! 이런 영화 좋아해서 별점 볼 필요도 없다 싶어서 그냥 봤는데.. 정말 너무 나랑 안맞았다ㅠ 이래서 왓챠 별점 못잃어.. 어쩜 내 취향을 이렇게 잘 알지??\n[20231225]
658a9838c41002f5926ed0f9,KJM,2.0,형 스타워즈가 만만해?
658a9838c41002f5926ed0fa,석재현,2.0,지나치게 방지턱 역할하는 슬로모션 기법과 어디 하나 마음 둘 곳 없는 세계관과 캐릭터
658a9838c41002f5926ed0fb,Rabbitgumi,3.0,잭스나이더의 감성이 덧붙여진 유사 스타워즈 영화.\n나름 장엄한 분위기도 있고 액션 장면도 즐길만하다.\n단 스나이더 영화가 늘 가지고 있는 것처럼 서사가 약하다.\n그럼에도 집에서 넷플릭스로는 꽤 즐길만한 오락영화.\n스나이더 감독 영화치고 러닝타임도 짧은 편.
658a9838c41002f5926ed0fc,민진수,5.0,231225. 스타워즈9의 하위호환. 나오면 안 되는 영화가 또 하나 탄생해버렸다
658a9839c41002f5926ed0fd,똥깡,2.5,남들은 한 편에 담는 걸 두 번을 나눠서 제작한다.
658a9839c41002f5926ed0fe,이영민,1.5,기어코 간지 마저 내다 버리셨다
658a9839c41002f5926ed0ff,성인,2.5,조금은 실망스럽지만 잭 스나이더 감독이기 때문에 파트 2를 기대해보고는 싶다.
658a9839c41002f5926ed100,stan_by,3.5,전체적인 흐름보다는 각각의 씬에 집중해 종종 슬로우를 건다. 낮은 채도를 가져가면서 튀는 부분들을 쨍하게 만든 게 좋았고 늘 그렇듯 아쉬운 면이야 있지만 취향은 일맥상통하는 감독이라 작품 나오면 챙겨 본다.
658a9839c41002f5926ed101,주재필,1.5,답답하고 궁금한 점이 없는 빈사 상태 스토리
658a9839c41002f5926ed102,Sanguk Park,4.0,"내가 좋아하는 재료 듬뿍 때려넣어서 넷플에서 만든 마라탕 맛. 기시감이 많이 들면서도 아는맛이 맛있다.(당연히 이쪽동네는 아는척하고싶어하는 애들 많고, 영화하나만들어본적 없으면서 지잘난맛에사는애들이 많아서 평점이 낮을거라 생각은 했는데, 좀 심허네)"
658a9839c41002f5926ed103,Hosung Moon,2.0,슬로우 좀 안하면 안될까? 씨 뿌리는것도 슬로우냐?
658a9839c41002f5926ed104,광혁,2.0,잭 스나이더는 액션을 슬로우로 이해하고 있나요?
658a9839c41002f5926ed105,more930607,2.0,멤버를 무슨 포켓몬 모으듯이 하네
658a9839c41002f5926ed106,최명현,2.5,매력적인 주인공이나  흡입력 있는 서사 그 어떤 것도 없는 영화
658a9839c41002f5926ed107,이민성,1.0,아무 생각이 없다\n면 보기편함
658a9839c41002f5926ed108,강준홍,1.5,중국산 스타워즈
658a9839c41002f5926ed109,박찬,2.5,이스라엘에 대항하는 하마스
658a9839c41002f5926ed10a,이고,0.5,보다 접은 영화수준.\n놀랍지도 신선하지도 않은 스토리.\n지루하기만 설명충들의 이야기를 이해하기엔 너무나 많은 인내심이 필요하다.
658a9839c41002f5926ed10b,dejava,0.5,유아용 영화\n너무 단순한 배경설정 인물설정\n너무나 많이 봐왔던 스토리들\n별로 멋있지도 않은 장면에 슬로모션 남발\n왜이렇게 뭣도 없는 장면에 슬로를 걸어댈까 생각해보니\n이 영화가 유아용 영화라서 그런가보다\n아기들이 전투장면을 잘 이해 못할까봐 느리게 보여주나 보다
658a9839c41002f5926ed10c,단추구멍,3.5,넷플 제작에 이정도면 봐줄만 합니다. 어떤 우주서사극도 스타워즈를 피해갈 수 없겠네요. 스타워즈의 위대함을 일깨워주는 영화.
658a9839c41002f5926ed10d,강단,2.5,제발 연설 좀 그만해.
658a9839c41002f5926ed10e,한민국,1.0,완전히 감을 상실하신 스나이더..
658a9839c41002f5926ed10f,때때때량맛,2.5,전략을 개수작처럼 보이게 만드는 성급함
658a9839c41002f5926ed110,동훈,1.0,써커펀치의 재림
658a9839c41002f5926ed111,CGV SVIP,0.5,이런 클리셰를 장르맛이라고 버무리기엔 너무 기다리게했다.. 제나말론 거미인간만 머딛다
658a9839c41002f5926ed112,🍿WCHB!,1.5,누가 롤링페이퍼 쓴 거 영화로 만듦?
658a9839c41002f5926ed113,도빤튼,0.5,🎊💩🎊
658a9839c41002f5926ed114,James H,0.5,없어 보이는 미쟝센\n쓸데없이 잦은 슬로모션\n빈약한 연출과 스토리\n부족함을 열거하기엔 시간이 아까움\n\n잭에게 하고 싶은 한마디 은퇴
